geography_code,Subgroup,Group,Supergroup
E01000001,3c1,3c,3
E01000002,3c1,3c,3
E01000003,3b1,3b,3
E01000005,3b2,3b,3
E01000006,4c1,4c,4
E01000007,4a3,4a,4
E01000008,4a3,4a,4
E01000009,4c1,4c,4
E01000011,4c1,4c,4
E01000012,4a3,4a,4
E01000013,4a2,4a,4
E01000014,4a1,4a,4
E01000015,4a2,4a,4
E01000016,4b3,4b,4
E01000017,4a2,4a,4
E01000018,4a2,4a,4
E01000019,4c1,4c,4
E01000020,4a1,4a,4
E01000021,4c1,4c,4
E01000022,4b3,4b,4
E01000024,4b3,4b,4
E01000025,4a1,4a,4
E01000027,4a1,4a,4
E01000028,4a3,4a,4
E01000029,4c1,4c,4
E01000030,4a3,4a,4
E01000031,4c1,4c,4
E01000032,4b3,4b,4
E01000033,4a1,4a,4
E01000034,4a1,4a,4
E01000035,4a2,4a,4
E01000036,4b1,4b,4
E01000037,4b3,4b,4
E01000038,4b3,4b,4
E01000039,4b2,4b,4
E01000040,4a3,4a,4
E01000041,4a2,4a,4
E01000042,4a3,4a,4
E01000043,4a3,4a,4
E01000044,4b2,4b,4
E01000045,4a2,4a,4
E01000046,4a1,4a,4
E01000049,4a3,4a,4
E01000050,4c1,4c,4
E01000051,4a3,4a,4
E01000052,4a3,4a,4
E01000053,4a2,4a,4
E01000054,4a1,4a,4
E01000055,4a1,4a,4
E01000056,4a2,4a,4
E01000057,4a2,4a,4
E01000058,4a2,4a,4
E01000059,4a1,4a,4
E01000060,4a1,4a,4
E01000061,3b2,3b,3
E01000062,4b3,4b,4
E01000063,4a1,4a,4
E01000064,4a2,4a,4
E01000065,4a2,4a,4
E01000066,4c1,4c,4
E01000067,4c1,4c,4
E01000068,4c1,4c,4
E01000069,4c1,4c,4
E01000070,4c1,4c,4
E01000071,4c1,4c,4
E01000072,4a1,4a,4
E01000073,4a2,4a,4
E01000074,4a1,4a,4
E01000075,4b3,4b,4
E01000076,4a2,4a,4
E01000077,4a1,4a,4
E01000078,4a1,4a,4
E01000079,4a1,4a,4
E01000080,4a1,4a,4
E01000081,4a1,4a,4
E01000082,4a1,4a,4
E01000083,4a1,4a,4
E01000084,4a2,4a,4
E01000085,4a1,4a,4
E01000086,4a1,4a,4
E01000087,4a2,4a,4
E01000088,4a2,4a,4
E01000089,4a2,4a,4
E01000090,4a2,4a,4
E01000091,4a3,4a,4
E01000093,4a3,4a,4
E01000094,4a3,4a,4
E01000095,4a1,4a,4
E01000096,4a3,4a,4
E01000097,4b3,4b,4
E01000098,4a1,4a,4
E01000099,4a2,4a,4
E01000100,4a1,4a,4
E01000101,4b3,4b,4
E01000102,4a2,4a,4
E01000103,4a1,4a,4
E01000104,4a2,4a,4
E01000105,4a2,4a,4
E01000106,4a3,4a,4
E01000107,4b2,4b,4
E01000108,4a2,4a,4
E01000110,4c1,4c,4
E01000111,4a3,4a,4
E01000112,4b2,4b,4
E01000113,4b2,4b,4
E01000114,4b2,4b,4
E01000115,5b2,5b,5
E01000116,5b1,5b,5
E01000117,5b1,5b,5
E01000118,4b2,4b,4
E01000119,5b2,5b,5
E01000120,5b2,5b,5
E01000121,4a2,4a,4
E01000122,5b2,5b,5
E01000123,4b2,4b,4
E01000124,4b2,4b,4
E01000126,4a2,4a,4
E01000127,4a2,4a,4
E01000128,4a2,4a,4
E01000129,4a2,4a,4
E01000130,4a2,4a,4
E01000131,5b2,5b,5
E01000132,4a2,4a,4
E01000133,4a2,4a,4
E01000134,4a2,4a,4
E01000135,5a1,5a,5
E01000136,5a1,5a,5
E01000137,3b2,3b,3
E01000138,4b1,4b,4
E01000139,5a1,5a,5
E01000140,3c2,3c,3
E01000141,3b1,3b,3
E01000142,4b2,4b,4
E01000143,4a2,4a,4
E01000144,3c2,3c,3
E01000145,5a1,5a,5
E01000146,3c2,3c,3
E01000147,4b1,4b,4
E01000150,4b1,4b,4
E01000151,4a3,4a,4
E01000152,4a3,4a,4
E01000153,4a2,4a,4
E01000154,4a3,4a,4
E01000156,4b2,4b,4
E01000157,3c2,3c,3
E01000158,4b2,4b,4
E01000159,5a1,5a,5
E01000160,4b2,4b,4
E01000161,3c2,3c,3
E01000162,4b4,4b,4
E01000163,3b1,3b,3
E01000164,3b1,3b,3
E01000165,4b2,4b,4
E01000166,5b1,5b,5
E01000167,4b4,4b,4
E01000168,5b2,5b,5
E01000169,6c2,6c,6
E01000170,4b2,4b,4
E01000171,3c2,3c,3
E01000172,5b1,5b,5
E01000173,5b1,5b,5
E01000174,3c2,3c,3
E01000175,5a3,5a,5
E01000176,4a2,4a,4
E01000177,6c1,6c,6
E01000178,5a3,5a,5
E01000179,3c2,3c,3
E01000180,3b1,3b,3
E01000181,6c1,6c,6
E01000182,3c2,3c,3
E01000183,5a3,5a,5
E01000184,4a2,4a,4
E01000185,3b1,3b,3
E01000186,5b2,5b,5
E01000187,5b2,5b,5
E01000188,5b2,5b,5
E01000189,4a2,4a,4
E01000190,4b1,4b,4
E01000191,5a1,5a,5
E01000192,5a1,5a,5
E01000193,4b1,4b,4
E01000194,4b1,4b,4
E01000195,4a2,4a,4
E01000196,3c2,3c,3
E01000197,3c2,3c,3
E01000198,5a1,5a,5
E01000199,5a2,5a,5
E01000200,5a1,5a,5
E01000201,5a2,5a,5
E01000202,5a1,5a,5
E01000203,3b1,3b,3
E01000204,5a1,5a,5
E01000205,5a3,5a,5
E01000206,5a2,5a,5
E01000207,5a3,5a,5
E01000208,5a1,5a,5
E01000209,5a3,5a,5
E01000210,5a1,5a,5
E01000211,3c2,3c,3
E01000212,4b2,4b,4
E01000213,5a2,5a,5
E01000214,5a3,5a,5
E01000215,5a1,5a,5
E01000216,4b2,4b,4
E01000217,5a1,5a,5
E01000218,5a1,5a,5
E01000219,4b1,4b,4
E01000220,4b2,4b,4
E01000221,4a2,4a,4
E01000222,4b1,4b,4
E01000223,4a2,4a,4
E01000224,4b1,4b,4
E01000225,5a1,5a,5
E01000226,4a2,4a,4
E01000227,5b2,5b,5
E01000228,5b1,5b,5
E01000229,4b1,4b,4
E01000230,5a1,5a,5
E01000231,4b1,4b,4
E01000232,4b1,4b,4
E01000233,5b2,5b,5
E01000234,4b2,4b,4
E01000235,4b3,4b,4
E01000236,5a1,5a,5
E01000237,4b2,4b,4
